Rank,Song,Artist,Year,Lyrics,Source,spotify_ID
36,i know a place,petula clark,1965, every day when the work is behind you and the shop and the store put the lock on the door just get away where your worries wont find you if you like well ill tell you moredont let the day get the better of you when the evening comes theres so much to do you better put on your best and wear a smile just come along with me awhile cuz i tell youi know a place where the music is fine and the lights are always low i know a place where we can goat the door theres a man who will greet you then you go downstairs to some tables and chairs soon im sure youll be tappin your feet because the beat is the greatest thereall around there are girls and boys its a swingin place a cellar full of noise its got an atmosphere of its own somehow you gotta come along right now cuz i tell youi know a place where the music is fine and the lights are always low i know a place where we can gowell all around there are girls and boys its a swingin place a cellar full of noise its got an atmosphere of its own somehow you gotta come along right now cuz i tell youi know a place where the music is fine and the lights are always low i know a place where we can goi know a place where we can go i know a place where the lights are low youre gonna love this place i know i know a place where we can go i know a place where the lights are low ,1,7dQP6ESUYUMYUAnGkdyjXi
37,back in my arms again,the supremes,1965, ooooohall day long i hear my telephone ring friends calling giving their advice from the boy i love i should break away cause heartaches hell bring one dayi lost him once through friends advice but its not gonna happen twice cause all advice ever gotten me was really long and sleepless nights ooooohbut now hes back in my arms again right by my side i got him back in my arms again so satisfied ooooohits easy for friends to say let him go but im the one who needs him so its his love that makes me strong without him i cant go onthis time ill live my life at ease being happy loving whom i please and each time we make romance ill be thankful for a second chance ooooohcause hes back in my arms again right by my side i got him back in my arms again so satisfied ooooohhow can mary tell me what to do when she lost her love so true and flo she dont know cause the boy she loves is a romeoi listened once to my friends advice but its not gonna happen twice cause all advice ever gotten me was really long and sleepless nights ooooohi got him back in my arms again right by my side i got him back in my arms again so satisfied ooooohim satisfied so satisfied im satisfied im satisfied so satisfied ,1,4fJI2Q7htuaOz5b0BpDigh
41,like a rolling stone,bob dylan,1965, once upon a time you dressed so fine threw the bums a dime in your prime didnt you people call say beware doll youre bound to fall you thought they were all kidding you you used to laugh about everybody that was hanging out now you dont talk so loud now you dont seem so proud about having to be scrounging your next mealhow does it feel how does it feel to be without a home like a complete unknown like a rolling stoneahh youve gone to the finest schools alright miss lonely but you know you only used to get juiced in it nobodys ever taught you how to live out on the street and now youre gonna have to get used to it you say you never compromise with the mystery tramp but now you realize hes not selling any alibis as you stare into the vacuum of his eyes and say do you want to make a dealhow does it feel how does it feel to be on your own with no direction home a complete unknown like a rolling stoneah you never turned around to see the frowns on the jugglers and the clowns when they all did tricks for you you never understood that it aint no good you shouldnt let other people get your kicks for you you used to ride on a chrome horse with your diplomat who carried on his shoulder a siamese cat aint it hard when you discovered that he really wasnt where its at after he took from you everything he could stealhow does it feel how does it feel to have on your own with no direction home like a complete unknown like a rolling stoneahh princess on a steeple and all the pretty people theyre all drinking thinking that theyve got it made exchanging all precious gifts but you better take your diamond ring you better pawn it babe you used to be so amused at napoleon in rags and the language that he used go to him he calls you you cant refuse when you aint got nothing you got nothing to lose youre invisible now youve got no secrets to concealhow does it feel ah how does it feel to be on your own with no direction home like a complete unknown like a rolling stone ,1,3AhXZa8sUQht0UEdBJgpGc
44,just once in my life,the righteous brothers,1965, theres alot of things i want a lot of things that id like to be but girl i dont forsee a ragstoriches story for me theres just one little dream ive got to come true theres just one round ive gotta win i cant be a loser with youbaby baby once in my life let me get what i want girl dont let me down just once in my life let me hold on to one good thing i found dont let me down baby say that youll be stayincause i couldnt face a day if you werent here by my side if you went away then id be left without any pride ive given up on schemes cause all of them fell through ive given up so many things dont ask me to give up on youbaby baby once in my life let me get what i want girl dont let me down just once in my life let me hold on to one good thing i found dont let me down baby say that youll be stayinthat old pot of gold aint so easy to find but if you stand by me ill keep my peace of mind i cant give you the world but i ill work hard for you girl ill work hard evryday all my life so baby please dont leave me just do this for meonce in my life let me get what i want girl dont let me down just once in my life let me hold on to one good thing i found dont let me down baby say that youll be stayin  ,1,0qdTcFmL5mtPgdYqPPJubE
47,a walk in the black forest,horst jankowski,1965,original is an instrumental music vocals recorded by salena jones the trees join hands and say hello and suddenly evrywhere we go the sun beams through in fun the  leaves form patterns like a heart and whisper forever never part  be true cause  i love you shadows write words of love across our path birds sing how lucky those whose love just grows together blades of grass stand on and on and chatter together in a calm  thats green and so serene a   memry of our walk   of love in a dream a stream goes by reflecting a message from the sky above and here and there we look around to see other lovers who have found  their way crickets tap out their symphony  in code rabbits run helter skelter finding shelter here and flowers swaying in the breeze look up to the branches of the trees and  sing as  birds take wing all this is true cause i love you,3,3msjvrkCvIzUNJHULcAafN
48,for your love,the yardbirds,1965,for your love for your love for your love id give you everything and more and thats for sure for your love id bring you diamond rings and things right to your door for your love to thrill you with delight id bring you diamonds bright double takes i will excite to make you dream of me at night for your love for your love for your love for your love for your love i would give the stars above for your love for your love i would give you all i could for your love for your love for your love id give the moon if it were mine to give for your love id give the stars and the sun for i live for your love to thrill you with delight id bring you diamonds bright double takes i will excite to make you dream of me at night for your love for your love for your love ,3,5bC4y9Zhn6ng0MOzACCHkc
49,california girls,the beach boys,1965,well east coast girls are hip i really dig those styles they wear and the southern girls with the way they talk they knock me out when im down there the midwest farmers daughter really makes you feel alright and the northern girls with the way they kiss they keep their boyfriends warm at night i wish they all could be california wish they all could be california i wish they all could be california girls the west coast has the sunshine and the girls all get so tan i dig a french bikini on hawiian island dollsby a palm tree in the sand i been all round this great big world and i seen all kinds of girls yeah but i couldnt wait to get back in the states back to the cutest girls in the world i wish they all could be california wish they all could be california i wish they all could be california girls i wish they all could be california wish they all could be california i wish they all could be california girls,3,6bJuuCtXYiwOcKT9s8uRh8
50,go now,the moody blues,1965,weve already said goodbye since you gotta go oh youd better go now go now go now go now before you see me cry i dont want you to tell me just what you intend to do now cause how many times i have to tell you darlin darlin im still in love with you now woah weve already said so long i dont wanna see you go oh you had better go now go now go now go now dont you even try telling me that you really dont want me to end this way yeah but darlin darlin cant you see i want you to stay yeah since you gotta go oh you had better go now go now go now go now before you see me cry i dont want you to tell me just what you intend to do now but how many times do i have to tell you darlin darlin im still in love still in love with you now i dont wanna see you go but darlin youd better go now,3,0aE88kbyvVtBx9lcyv95fe
51,goldfinger,shirley bassey,1965, goldfinger hes the man the man with the midas touch a spiders touch such a cold finger beckons you to enter his web of sin but dont go ingolden words he will pour in your ear but his lies cant disguise what you fear for a golden girl knows when hes kissed her its the kiss of death from mister goldfinger pretty girl beware of his heart of gold this heart is coldgolden words he will pour in your ear but his lies cant disguise what you fear for a golden girl knows when hes kissed her its the kiss of death from mister goldfinger pretty girl beware of his heart of gold this heart is coldhe loves only gold only gold he loves gold he loves only gold only gold he loves gold ,1,7r0EUONfPUZ8SD1vu4ro27
52,down in the boondocks,billy joe royal,1965, down in the boondocks down in the boondocks people put me down cause thats the side of town i was born in i love her she loves me but i dont fit in her society lord have mercy on the boy from down in the boondocksevry night i watch the lights from the house up on the hill i love a little girl who lives up there and i guess i always will but i dont dare knock on her door cause her daddy is my boss man so i have to try to be content just to see her when ever i candown in the boondocks down in the boondocks people put me down cause thats the side of town i was born in i love her she loves me but i dont fit in her society lord have mercy on the boy from down in the boondocksdown in the boondocks down in the boondocksone fine day ill find the way to move from this old shack ill hold my head up like a king and i never never will look back until that morning ill work and slave and ill save evry dime but tonight shell have to steal away to see me one more timedown in the boondocks down in the boondocks people put me down cause thats the side of town i was born in i love her she loves me but i dont fit in her society lord have mercy on the boy from down in the boondocks lord have mercy on the boy from down in the boondocks lord have mercy on the boy from down in the boondocks ,1,2wTdZ6wy0AJp5LcYzWcVt5
60,tired of waiting for you,the kinks,1965,so tired tired of waiting tired of waiting for you so tired tired of waiting tired of waiting for you i was a lonely soul i had nobody till i met you but you keeping me waiting all of the time what can i do its your life and you can do what you want do what you like but please dont keep me waiting please dont keep me waiting cuz im so tired tired of waiting tired of waiting for you so tired tired of waiting tired of waiting for you i was a lonely soul i had nobody till i met you but you keeping me waiting all of the time what can i do its your life and you can do what you want do what you like but please dont keep me waiting please dont keep me waiting cuz im so tired tired of waiting tired of waiting for you so tired tired of waiting tired of waiting for you for you for you,3,4Sjhcp0Ngeuf41WUp2B4az
62,all day and all of the night,the kinks,1965,and here come the kinks with all day and all of the night im not content to be with you in the daytime girl i want to be with you all of the time the only time i feel alright is by your side girl i want to be with you all of the time all day and all of the night all day and all of the night all day and all of the night i believe that you and me last forever oh yeah all day and nighttime yours leave me never the only time i feel alright is by your side girl i want to be with you all of the time all day and all of the night all day and all of the night oh come on i believe that you and me last forever oh yeah all day and nighttime yours leave me never the only time i feel alright is by your side girl i want to be with you all of the time all day and all of the night all day and all of the night time all day and all of the night,3,78JmElAFmrPNhLjovDR9Jm
63,what the world needs now is love,jackie deshannon,1965, what the world needs now is love sweet love its the only thing that theres just too little of what the world needs now is love sweet love no not just for some but for everyonelord we dont need another mountain there are mountains and hillsides enough to climb there are oceans and rivers enough to cross enough to last till the end of timewhat the world needs now is love sweet love its the only thing that theres just too little of what the world needs now is love sweet love no not just for some but for everyonelord we dont need another meadow there are cornfields and wheat fields enough to grow there are sunbeams and moonbeams enough to shine oh listen lord if you want to knowwhat the world needs now is love sweet love its the only thing that theres just too little of what the world needs now is love sweet love no not just for some oh but just for ever every everyonewhat the world needs now is love sweet love oh is love what the world needs now is love sweet love oh is love what the world needs now is love sweet love oh is love ,1,1fjOO2k5k2vjg6TrvPJ2NS
69,heart full of soul,the yardbirds,1965,sick at heart and lonely deep in dark despair thinking one thought only where is she tell me where and if she says to you she dont love me just give her my message tell her of my plea and i know well if she had me back again well i would never make her sad ive gotta heart full of soul and i know well if she had me back again well i would never make her sad ive gotta heart full of soul shes been gone such a long time longer than i can bear but if she says she wants me tell her that ill be there and if she says to you she dont love me just give her my message tell her of my plea and i know well if she had me back again well i would never make her sad ive gotta heart full of soul,3,0AiuEo7FCxP2y2WTOpLPe5
74,tell her no,the zombies,1965, and if she should tell you come closer and if she tempts you with her charmstell her no no no no no no no no no no no no no no no no no no no no no dont hurt me now for her love belongs to meand if she should tell you come closer and if she tempts you with her charmstell her no no no no no no no no no no no no no no no no dont take her love for your arms no no no no no dont hurt me now for her love belongs to mei know shes the kind of girl whod throw my love away but i still love her so dont hurt me now dont hurt me nowif she tells you i love you just remember she said that to metell her no no no no no no no no no no no no no no no no dont take her love from my arms no no no no no dont leave her now for her love belongs to me ,1,5FNRngWeBEpR8BiGLlNm2l
75,i go to pieces,peter and gordon,1965,peter miscellaneous i go to pieces i go to pieces del shannon d shannon when i see her comin down the street i get so shaky and i feel so weak i tell my eyes look the other way but they dont seem to hear a word i say and i go to pieces and i wanna hide go to pieces and i almost die everytime my baby passes by i tell my arms theyll hold someone new another love that will be true but they dont listen they dont seem to care they reach for her but shes not there and i go to pieces and i wanna hide go to pieces and i almost die everytime my baby passes by i remember what she said when she said goodbye baby well meet again soon maybe but until we do all my best to you im so lonely i think about her only i go to places we used to go but i know shell never show she hurt me so much inside now i hope shes satisfied and i go to pieces and i wanna hide go to pieces and i almost die everytime my baby passes by go to pieces and i cry everytime my baby passes by go to pieces and i cry,3,2yi1HjKqErtxTjK2v5TtjW
76,red roses for a blue lady,vic dana,1965,vic dana miscellaneous red roses for a blue lady red roses for a blue lady artist vic dana peak billboard position  10 in 1965 words and music by sid tepper and roy bennett just edged out contemporary  11 hit by bert kaempfert soundly beat wayne newtons contemporary  23 version previously a  3 hit for vaughn monroe in 1949 i want some red roses for a blue lady mister florist take my order please we had a silly quarrel the other day i hope these pretty flowers chase her blues away i want some red roses for a blue lady send them to the sweetest gal in town and if they do the trick ill hurry back to pick your best white orchid for her wedding gown i want some red roses for a blue lady we had a silly quarrel the other day i hope these pretty flowers chase her blues away i want some red roses for a blue blue lady send them to the sweetest gal in town and if they do the trick ill hurry back to pick your best white orchid for her wedding gown your best white orchid for her wedding gown transcribed by ronald e hontz ronhontzworldnetattnet,3,2U8i316GHJMluI42xqbThK
79,too many rivers,brenda lee,1965, i wish i could come back to you dear cause i know that you want me too but too much waters run under that old bridge theres too many rivers between me and youtheres too many rivers to cross dear too many dreams have been lost and theres too many long nights that ive turned and tossed theres too many rivers to crossnow dont think for a moment i blame only you we both peeled the fruit on the vine and when you try to put love back together theres always a few little pieces that you cant findyes theres too many rivers to cross dear and theres too many dreams that have been lost aah theres too many long nights that ive turned and ive tossed theres too many rivers to cross ,1,54NQrfMVjRkM5M9I3St3yC
82,true love ways,peter and gordon,1965,peter miscellaneous true love ways true love ways buddy holly yes you know why why you and i will by and by know true love ways sometimes well sigh sometimes well cry and well know why just you and i know true love ways throughout the days our true love ways will bring us joy to share with those who really care sometimes well sigh sometimes well cry and well know why just you and i know true love ways,3,2fGe1krTxovW7xsgiaHkrN
86,we gotta get out of this place,the animals,1965, midnight finds me cryin day time finds me cryin too ive got to get out of town this whole city just brings me down yeahgotta get away gotta get away gotta get awayi made a promise to you such a long time ago now baby now baby now baby now baby its time to make it come true yeah come through yeah come true yeah come through yeah come true yeahin this dirty old part of the city where the sun refuse to shine people tell me there aint no use in me trying no little girl youre so young and youre so pretty and one thing i know is true your going to be dead before your time is duesee my daddy in bed dying watched his hair been turning gray i know hes been working and slaving working and slaving slaving and working working yeah work yeah yeah yeah yeahwe gotta get out of this place if its the last thing we ever do we gotta get out of this place theres a better life dont you know dont you know man dont you know dont you know dont you knowwell well well time brings about a change time on the clock on the wall brings about a change yeah all of his life hes been slaving all of the life hes been workingfor what for what for what for what give it up give it up give it up give it up yeahsee my daddy in bed dying watched his hair been turning gray i know hes been working and slaving and slaving and working and working and slaving working yeah work yeah yeah yeah yeahwe gotta get out of this place if its the last thing we ever do we gotta get out of this place theres a better life dont you know dont you know dont you knowtake me take me take mewe gotta get out of this place if its the last thing we ever do we just gotta get out of this place theres a better life theres a better world theres a better way dont you know dont you know dont you knowwe gotta get out of this place if its the last thing we ever do we gotta get out of this place theres a better world dont you know dont you know dont you know i want to get you out of this placeout of this place out of this place yeah yeah yeah ,1,1HFUjul1k9uxFMrOCi8jVx
