Rank,Song,Artist,Year,Lyrics,Source,spotify_ID
61,state of shock,the jacksons,1984,yeah cmon baby you gotta be mine cause youre so fine i like your style it makes me wild you take it to me good you like it know you should you get me on my knees well please baby please listen she looks so great everytime i see her face she put me in a state a state of shock were doin it cmon baby cmon baby cmon let me in she put me on my knees please baby please i know you like to tease please baby please you take it to me good you like it know you should i love the way you walk and talk baby talk listen she looks so great everytime i see her face she put me in a state a state of shock she put me in a state of shock hey cmon here no cmon here talk talk to me state of shock state of shock you put me in a you know i really love you baby state of shock you know i really want you for me youve got me paralyzed youve got me paralyzed youve got me into tonic you got me catch the sonic baby youve got me supersonic you got me supersonic baby baby try you know want me decide a state of shock yeah look what youve done to me look what youve done to me look what youve done to me yeah im highly moved a state of shock you know i need mouthtomouth resuscitation cmon baby you know i really love you baby a state of shock you know i really want you for me yeah baby yeah baby just look at me look at me a state of shock you got me in you got me you got me you got me in a state of shock look at that look at me look at me look at me ,3,1sLTxLJzyoBJiPzv420KAx
63,miss me blind,culture club,1984, miss me i know youll miss me i know youll miss me blindi know youll miss me i know youll miss me i know youll miss me blindi know youll miss me i know youll miss me i know youll miss me blindbet you got a good gun bet you know how to have some fun and then you turn it around on me because im better than the rest of the meni say youll miss me and you always do i say youll miss me now would i lie to younow theres no need to demand grab my golden hand ill teach you and youll never be sure if the way that you need is too much like greed decide if you are rich or youre poori know youll miss me i know youll miss me i know youll miss me blindi know youll miss me i know youll miss me i know youll miss me blindbet you make the fool run bet you know how to make it last forever but you know im never really sure if youre just kissing to be cleveri say youll miss me and you always do i say youll miss me now would i lie to younow theres no need to demand grab my golden hand ill teach you and youll never be sure if the way that you need is too much like greed decide if you are rich or youre poorbecause the love that i have to give must be better than that kind it can make you rich it can make you poor but i know that youll miss me blindi know youll miss me i know youll miss me i know youll miss me blindi know youll miss me i know youll miss me i know youll miss me blindi know youll miss me i know youll miss me i know youll miss me blindi know youll miss me i know youll miss me i know youll miss me blindi know youll miss me i know youll miss me i know youll miss me blindi know youll miss me i know youll miss me i know youll miss me blindi know youll miss me i know youll miss me i know youll miss me blindi know youll miss me i know youll miss me i know youll miss me blind ,1,0WXd9onRWo37gf2u9xDj36
65,you might think,the cars,1984, you might think im crazy to hang around with you maybe you think im lucky to have something to dobut i think that youre wild inside me is some childyou might think im foolish or maybe its untrue you might think im crazy but all i want is youyou might think its hysterical but i know when youre weak you think youre in the movies and everythings so deepbut i think that youre wild when you flash that fragile smileyou might think its foolish what you put me through you might think im crazy but all i want is youand it was hard so hard to take theres no escape without a scrapeyou kept it going till the sun fell down you kept it goingwell you might think im delirious the way i run you down but somewhere sometimes when youre curious ill be back aroundoh i think that youre wild and so uniquely styledyou might think its foolish this chancy rendezvous you might think im crazy but all i want is you all i want is you all i want is you ,1,7BvuV4c1BGhaRapcXvRu5z
66,lucky star,madonna,1984, you must be my lucky star cause you shine on me wherever you are i just think of you and i start to glow and i need your light and baby i knowstarlight star bright first star i see tonight starlight star bright make everything alright starlight star bright first star i see tonight starlight star bright ooo yeahyou must be my lucky star cause you make the darkness seem so far and when im lost youll be my guide i just turn around and youre by my sidestarlight star bright first star i see tonight starlight star bright make everything alright starlight star bright first star i see tonight starlight star bright ooo yeahcome on shine your heavenly body tonight cause i know youre gonna make everything alright come on shine your heavenly body tonight cause i know youre gonna make everything alrightyou may be my lucky star but im the luckiest by far you may be my lucky star but im the luckiest by farstarlight star bright first star i see tonight starlight star bright make everything alright starlight star bright first star i see tonight starlight star bright ooo yeahcome on shine your heavenly body tonight cause i know youre gonna make everything alright come on shine your heavenly body tonight cause i know youre gonna make everything alrightyou may be my lucky star im the luckiest by far you may be my lucky star im the luckiest by faryou may be my lucky star what you do to me baby you know im the luckiest by farstarlight star bright first star i see tonight starlight star bright make everything alright starlight star bright first star i see tonight starlight star brightstarlight star bright you make everything alright what you do to me baby you better stay by my side tonightstarlight star bright starlight star bright starlight star bright starlight star brightstarlight star bright baby starlight star bright stay by my side tonight what you do to me baby what you do what you do to me baby stay by my side tonight you may be my lucky star ,1,2hWI9GNr3kBrxZ7Mphho4Q
67,cover me,bruce springsteen,1984, the times are tough now just getting tougher this old world is rough its just getting rougher cover me come on baby cover me well im looking for a lover who will come on in and cover me promise me baby you wont let them find us hold me in your arms lets let our love blind us cover me shut the door and cover me well im looking for a lover who will come on in and cover meoutsides the rain the driving snow i can hear the wild wind blowing turn out the light bolt the door i aint going out there no morethis whole world is out there just trying to score ive seen enough i dont want to see any more cover me come on and cover me im looking for a lover who will come on in and cover me looking for a lover who will come on in and cover me ,1,4U7NhC2rQTAhH7dw7H0goB
68,cum on feel the noize,quiet riot,1984, cum on feel the noize girls rock your boys we get wild wild wild wild wild wildso you think i got an evil mind ill tell you honey that i dont know why i dont know whyso you think my singings out of time it makes me money and i dont know why and i dont know why anymore oh nocum on feel the noize girls rock your boys we get wild wild wild wild wild wildcum on feel the noize girls rock your boys we get wild wild wild let it rockso you think i got a funny face i aint got no worries and i dont know why and i dont know whyoh i gotta sing with some disgrace i aint in no hurry and i dont know why i dont know why anymore oh nocum on feel the noize girls rock your boys we get wild wild wild wild wild wildcum on feel the noize girls rock your boys we get wild wild wild let it rockcum oncum on feel the noize girls rock your boys lets get wild wild wild wild wild wildcum on feel the noize girls rock your boys lets get wild wild wild let it rock cum oncum on feel it cum on rock it we get wild wild wild wild wild wildcum on feel the noize girls rock your boys we get wild wild wild let it rockcum on feel the noize girls rock your boys ,1,6FBmHx1FuaSnTnnnaThgbF
72,an innocent man,billy joel,1984, some people stay far away from the door if theres a chance of it opening up they hear a voice in the hall outside and hope that it just passes bysome people live with the fear of a touch and the anger of having been a fool they will not listen to anyone so nobody tells them a liei know youre only protecting yourself i know youre thinking of somebody else someone who hurt you but im not above making up for the love youve been denying you could ever feel im not above doing anything to restore your faith if i can some people see through the eyes of the old before they ever get a look at the young im only willing to hear you cry because i am an innocent man i am an innocent man oh yes i amsome people say they will never believe another promise they hear in the dark because they only remember too well they heard somebody tell them beforesome people sleep all alone every night instead of taking a lover to bed some people find that its easier to hate than to wait anymorei know you dont want to hear what i say i know youre gonna keep turning away but ive been there and if i can survive i can keep you alive im not above going through it again ive not above being cool for a while if youre cruel to me ill understandsome people run from a possible fight some people figure they can never win and although this is a fight i can lose the accused is an innocent man i am an innocent man oh yes i am an innocent manyou know you only hurt yourself out of spite i guess youd rather be a martyr tonight thats your decision but im not below anybody i know if theres a chance of resurrecting a love im not above going back to the start to find out where the heartache begansome people hope for a miracle cure some people just accept the world as it is but im not willing to lay down and die because i am an innocent mani am an innocent man oh yes i am an innocent man ,1,1Gg14U26oq94uWcG7khccX
73,cruel summer,bananarama,1984, hot summer streets and the pavements are burning i sit around trying to smile but the air is so heavy and drystrange voices are saying what did they say things i cant understand its too close for comfort this heat has got right out of handits a cruel cruel summer leaving me here on my own its a cruel cruel summer now youve gonethe city is crowded my friends are away and im on my own its too hot to handle so i got to get up and goits a cruel cruel summer leaving me here on my own its a cruel cruel summer now youve gone youre not the only oneits a cruel cruel summer leaving me here on my own its a cruel cruel summer now youve goneits a cruel cruel summer leaving me here on my own its a cruel cruel summer now youve gone youre not the only oneits a cruel cruel summer leaving me here on my own its a cruel cruel summer now youve gone youre not the only oneits a cruel cruel summer leaving me here on my own its a cruel cruel summer ,1,0wnJdLDUi9fkDl5nxhDlqO
74,dance hall days,wang chung,1984, take your baby by the hand and make her do a high hand stand and take your baby by the heel and do the next thing that you feelwe were so in phase in our dance hall days we were cool on craze when i you and everyone we knew could believe do and share in what was truei said dance hall days lovetake your baby by the hair and pull her close and there there there and take your baby by the ears and play upon her darkest fearswe were so in phase in our dance hall days we were cool on craze when i you and everyone we knew could believe do and share in what was truei said dance hall days love dance hall days dance hall days lovetake your baby by the wrist and in her mouth an amethyst and in her eye two sapphires blue and you need her and she needs youand you need her and she needs you and you need her and she needs you and you need her and she needs you and you need her and she needs youwe were so in phase in our dance hall days we were cool on craze when i you and everyone we knew could believe do and share in what was trueoh i said dance hall days lovedance hall days love dance hall days dance hall days love dance hall daysdance hall days love dance hall days dance hall days love ,1,6ES92LMMYg49sgXRvOPbbH
78,thriller,michael jackson,1984, its close to midnight and something evils lurking in the dark under the moonlight you see a sight that almost stops your heart you try to scream but terror takes the sound before you make it you start to freeze as horror looks you right between the eyes youre paralyzedcause this is thriller thriller night and no ones gonna save you from the beast about to strike you know its thriller thriller night youre fighting for your life inside a killer thriller tonightyou hear the door slam and realize theres nowhere left to run you feel the cold hand and wonder if youll ever see the sun you close your eyes and hope that this is just imagination but all the while you hear the creature creepin up behind youre out of timecause this is thriller thriller night there aint no second chance against the thing with forty eyes you know its thriller thriller night youre fighting for your life inside a killer thriller tonightnight creatures call and the dead start to walk in their masquerade theres no escapin the jaws of the alien this time theyre open wide this is the end of your lifetheyre out to get you theres demons closing in on every side they will possess you unless you change the number on your dial now is the time for you and i to cuddle close together all through the night ill save you from the terrors on the screen ill make you seethat its a thriller thriller night cause i can thrill you more than any ghost would ever dare try girl this is thriller thriller night so let me hold you tight and share a killer diller chiller thriller here tonightthat its a thriller thriller night cause i can thrill you more than any ghost would ever dare try girl this is thriller thriller night so let me hold you tight and share a killer dillerdarkness falls across the land the midnight hour is close at hand creatures crawl in search of blood to terrorize yawls neighborhood and whosoever shall be found without the soul for getting down must stand and face the hounds of hell and rot inside a corpses shellthe foulest stench is in the air the funk of forty thousand years and grizzly ghouls from every tomb are closing in to seal your doom and though you fight to stay alive your body starts to shiver for no mere mortal can resist the evil of the thriller ,1,3S2R0EVwBSAVMd5UMgKTL0
79,holiday,madonna,1984, holiday celebrate holiday celebrateif we took a holiday took some time to celebrate just one day out of life it would be it would be so nice everybody spread the word were gonna have a celebration all across the world in every nation its time for the good times forget about the bad times one day to come together to release the pressure we need a holiday if we took a holiday took some time to celebrate just one day out of life it would be it would be so niceyou can turn this world around and bring back all of those happy days put your trouble down its time to celebrate let love shine and we will find a way to come together and make things better we need a holiday if we took a holiday took some time to celebrate just one day out of life it would be it would be so niceholiday celebrate holiday celebrate ,1,4k6ktr10Hczmh55NY3LfJy
82,church of the poison mind,culture club,1984, desolate loving in your eyes you used and made my life so sweet step out like a god found child i saw your eyes across the street who would be the fool to take you be more that just kind step into a life of maybe love is hard to find in the church of the poison mindin the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison mindwatch me clinging to the beat i had to fight to make it mine that religion you could sink it neat just move your feet an youll feel fine who would be the fool to maybe trick a kiss in time who am i to say thats crazy love will make you blindin the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison minddesolate loving in your eyes you used and made my life so sweet step out like a god found child i saw your eyes across the street who would be the fool to take you be more that just kind step into a life of maybe love is hard to find in the church of the poison mindin the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison mind in the church of the poison mind ,1,0058zvqKijlP4INBrNy8P9
83,think of laura,christopher cross,1984, hey laura laura hey laura lauraevery once in a while id see her smile and shed turn my day around a girl with those eyes stared through the lies see what your heart was sayingthink of laura but laugh dont cry i know shed want it that way and when you think of laura well laugh dont cry i know shed want it that waya friend of a friend a friend to the end thats the kind of girl she was taken away so young taken away without a warningthink of laura but laugh dont cry i know shed want it that way and when you think of laura well laugh dont cry i know shed want it that wayi know you and youre here in every day we live i know her and shes here i could feel her when i singhey laura where are you now are you far away from here i dont think so i think youre here taking our tears awaythink of laura but laugh dont cry i know shed want it that way and when you think of laura well laugh dont cry i know shed want it that way well i know shed want it that wayhey laura hey laura i know she wants it that way hey laura hey laura i know you want it that way hey laura ,1,5jLq63jMFWg0dKHnht6YI0
84,time will reveal,debarge,1984,what can i do to make you feel secure remove all your doubts so that youll know for sure that youre the apple of my eye girl fulfillment of my dreams time will show the value of just what you mean to me more precious than silver more precious than diamond rings or anything that i can give you it wouldnt mean a thing if you didnt have my love beside you there to guide you through well it is good to know you do i know just how you feel but this time loves for real in time it will reveal that special love thats deep inside of us will all reveal in time ah i tell you i love you but you wont believe its true more precious than silver more precious than diamond rings or anything that i can give you it wouldnt mean a thing if you didnt have my love beside you there to guide you through well it is good to know you do ah i know just how you feel but this time loves for real in time it will reveal that special love thats deep inside of us will all reveal in time i know just how you feel but this time loves for real in time it will reveal that special love thats deep inside of us will all reveal in time oh i see you baby yeah or anything that i can give you it wouldnt mean a thing if you didnt have my love beside you there to guide you through well it is good to know you do ah i know just how you feel but this time loves for real in time it will reveal that special love thats deep inside of us will all reveal in time i know just how you feel but this time loves for real in time it will reveal i know just how you feel in time it will reveal that special love thats deep inside of us will all reveal in time,3,5jKaFrkFSUqLNDnlGuU3Gb
85,wrapped around your finger,the police,1984, you consider me the young apprentice caught between the scylla and charibdes hypnotized by you if i should linger staring at the ring around your fingeri have only come here seeking knowledge things they would not teach me of in college i can see the destiny you sold turned into a shining band of goldill be wrapped around your finger ill be wrapped around your finger mephistopheles is not your name i know what youre up to just the same i will listen hard to your tuition you will see it come to its fruition ill be wrapped around your finger ill be wrapped around your fingerdevil and the deep blue sea behind me vanish in the air youll never find me i will turn your face to alabaster when youll find your servant is your master ,1,2bQI01HjqtcZmqAVTjE8CA
87,round and round,ratt,1984, out on the streets thats where well meet you make the night i always cross the line tightened our belts abused ourselves get in our way well put you on your shelfanother day some other way were gonna go but then well see you again ive had enough weve had enough cold in vain she saidi knew right from the beginning that you would end up winnin i knew right from the start youd put an arrow through my heartround and round with love well find a way just give it time round and round what comes around goes around ill tell you why diglookin at you lookin at me the way you move you know its easy to see the neon lights on me tonight ive got a way were gonna prove it tonightlike romeo to juliet time and time im gonna make you mine ive had enough weve had enough its all the same she saidi knew right from the beginning that you would end up winnin i knew right from the start youd put an arrow through my heartround and round with love well find a way just give it time round and round what comes around goes around ill tell you why yeahout on the streets thats where well meet you make the night i always cross the line tightened our belts abuse ourselves get in our way well put you on your shelfround and round with love well find a way just give it time round and round what comes around goes around ill tell you whyround and round with love well find a way just give it time yeah round and round what comes around goes around ill tell you why round and round ,1,5B6Z7NwVqA7W3UFiqBdEJC
89,the longest time,billy joel,1984, oh oh oh for the longest time oh oh oh for the longest if you said goodbye to me tonight there would still be music left to write what else could i do im so inspired by you that hasnt happened for the longest timeonce i thought my innocence was gone now i know that happiness goes on thats where you found me when you put your arms around me i havent been there for the longest timeoh oh oh for the longest time oh oh oh for the longest im that voice youre hearing in the hall and the greatest miracle of all is how i need you and how you needed me too that hasnt happened for the longest timemaybe this wont last very long but you feel so right and i could be wrong maybe ive been hoping too hard but ive gone this far and its more than i hoped forwho knows how much further well go on maybe ill be sorry when youre gone ill take my chances i forgot how nice romance is i havent been there for the longest timei had second thoughts at the start i said to myself hold on to your heart now i know the woman that you are youre wonderful so far and its more than i hoped fori dont care what consequence it brings i have been a fool for lesser things i want you so bad i think you ought to know that i intend to hold you for the longest time ,1,3YhcVZIWyakQSTUJD1YMt4
91,got a hold on me,christine mcvie,1984, youre liftin me up never let me down and i smile whenever youre aroundooh and ive got a feeling itll work out right cant stop thinking about you every day and nightooh ive got a love i got somebody this love got a hold on me yeah ive got a love i got somebody this love got a hold on mewell ive been in love and ive lost i can count the tears but i cant count the costoh ive been down ive been used now i know i know i know that i just cant loseooh ive got a love i got somebody this love got a hold on me ooh ive got a love i got somebody this love got a hold on meyeah ive got a love i got somebody this love got a hold on me ooh ive got a love i got somebody this love got a hold on meyeah ive got a love i got somebody this love got a hold on me ooh ive got a love i got somebody this love got a hold on meive got a love i got somebody this love got a hold on me ive got a love i got somebody this love got a hold on meooh ive got a love i got somebody this love got a hold on me ive got a love i got somebody this love got a hold on me ,1,0FCgqHNdcbhGIEmU8r6ZF1
92,dancing in the sheets,shalamar,1984, dancin in the sheets dancin in the sheetsi caught you smilin i know ive seen you here before how come youre hidin hey dont you wanna hit the floor the place is crowded or maybe you dont like the beat i got a twotrack playin in my head so let me take you somewhere else insteaddancin in the sheets dancin in the sheetsgrab your coat and wave goodbye to your friends i wanna take you where the night never ends i feel the need to sweep you off your feet you and me we should be dancin in the sheets dancin in the sheetswe got the rhythm we got the music on our side if we go with em ill bet well have a wonderful ride oh your hands are cold so maybe we could make some heat love is always born on a chance so wrap around me and baby lets dancedancin in the sheets dancin in the sheetsgrab your coat and wave goodbye to your friends i wanna take you where the night never ends i feel the need to sweep you off your feet you and me we should be dancin in the sheets dancin in the sheetsgrab your coat and wave goodbye to your friends i wanna take you where the night never ends i feel the need to sweep you off your feet you and me we should be dancin in the sheets dancin in the sheetsdancin in the sheets dancin in the sheets dancin in the sheets  ,1,1HDV5ltdR7fuHKPii5LrTr
95,new moon on monday,duran duran,1984, shake up the picture the lizard mixture with your dance on the eventide you got me coming up with answers all of which i denyi said it again but could i please rephrase it maybe i can catch a ride i couldnt really put it much plainer but ill wait til you decide send me your warning siren as if i could ever hide last time la lunai light my torch and wave it for the new moon on monday and a fire dance through the night i stayed the cold day with a lonely satellite new moon on monday and a fire dance through the night i stayed the cold day with a lonely satellitebreaking away with the beast of both worlds a smile that you cant disguise every minute i keep finding clues that you leave behind save me from these reminders as if id forget tonight this time la lunai light my torch and wave it for the new moon on monday and a fire dance through the night i stayed the cold day with a lonely satellite new moon on monday and a fire dance through the night i stayed the cold day with a lonely satellitei light my torch and wave it for the new moon on monday and a fire dance through the night i stayed the cold day with a lonely satellite new moon on monday and a fire dance through the night i stayed the cold day with a lonely satellite new moon on monday and a fire dance through the night i stayed the cold day with a lonely satellite new moon on monday and a fire dance through the night fire dance through the night i stayed the cold day with a lonely satellite new moon on monday and a fire dance through the night fire dance through the night ,1,35JVOjqj3ZqdyB8kvynb3q
98,when you close your eyes,night ranger,1984, what do you do when its fallin apart and you knew it was gone from the very start do you close your eyes and dream about mea girl in love with a gleam in her eye i was a younger boy all dressed in white were older now i bet you still think about mei remember we learned about love in the back of a chevrolet well it felt so good to be young feels like yesterdaywhen you close your eyes do you dream about me when you close your eyes do you dream about me do you still dream about mei guess i dont know what im thinkin comin off a hard night of drinkin angie come closer to me i need a soul to bleed onit coulda been done in a different kinda way but that aint you you play tough when you play its over now i bet you still think about mei remember i held you so tight and we danced the night away with the moves of two wide eyed kids i need you so much todaywhen you close your eyes do you dream about me when you close your eyes do you dream about mewhen you close your eyes do you dream about me when you close your eyes do you dream about mei remember we learned about love in the back of a chevrolet no good for an old memory to mean so much todaywhen you close your eyes do you dream about me when you close your eyes do you dream about mewhen you close your eyes do you dream about me when you close your eyes do you dream about mewhen you close your eyes do you dream about me when you go to sleep at night do you dream about mewhen you close your eyes do you dream dream about me when you close your big brown eyes do you dream about me ,1,5Al4Jbso4nYdZgJ2gSCEzT
99,rock me tonite,billy squier,1984, im rockin tonite im walkin on air gonna find me some trouble gonna grab my share i want you tonite i want you with me make me guilty of love in the first degree yeahyou want it all right were goin in style say you walk right you talk right and your hairs so wild snowwhite hey thats not what i mean we go down in the shadows and crawl betweenmoonlight in the city brings the magic to your eyes freezin a moment leave me paralyzed breathe an emotion set it dancin in my ear bring on the rhythm when i hold you neartake me in your arms roll me through the night take me to your heart rock me toniteyou do it all right youre passion to see you been schooled in the art of romancin me hold tight youre in for the ride can you feel the blood poundin way down insideno ones stoppin us now we go down down where the musics loud if its all night hey thats all right by me go and play on my love play it all for melifes never easy we can make it if we try takin our chances face em side by side live for the moment on that we can agree come and take me where i long to betake me in your arms roll me through the night take me to your heart rock me tonitetake me in your arms its alright its alright take me to your heart rock me tonitea time for all and all in time a step beyond the borderline of who we are and where we long to be when every night you hear the sound of wakin up and breakin down you find a chance and heave it all awaycome on babe take me in your arms roll me through the night take me to your heart rock me tonitetake me in your arms its alright its alright take me to your heart come on take me rock me tonitetake me in your arms incomprehensible take me to your heart rock me rock rock rock and rock me rock rock rock and roll meits alright yeah yeah yeah yeah incomprehensible ,1,76zNJvuD3JtuiaWH0OdrWM
2,like a virgin,madonna,1985, i made it through the wilderness somehow i made it through didnt know how lost i was until i found youi was beat incomplete id been had i was sad and blue but you made me feel yeah you made me feel shiny and newhoo like a virgin touched for the very first time like a virgin when your heart beats next to minegonna give you all my love boy my fear is fading fast been saving it all for you cause only love can lastyoure so fine and youre mine make me strong yeah you make me bold oh your love thawed out yeah your love thawed out what was scared and coldlike a virgin hey touched for the very first time like a virgin with your heartbeat next to minewhoa whoa ah whoayoure so fine and youre mine ill be yours till the end of time cause you made me feel yeah you made me feel ive nothing to hidelike a virgin hey touched for the very first time like a virgin with your heartbeat next to minelike a virgin ooh ooh like a virgin feels so good inside when you hold me and your heart beats and you love meoh oh ooh whoa ,1,1ZPlNanZsJSPK5h9YZZFbZ
4,i want to know what love is,foreigner,1985, i gotta take a little time a little time to think things over i better read between the lines in case i need it when im oldernow this mountain i must climb feels like the world upon my shoulders through the clouds i see love shine it keeps me warm as life grows colder    meaning  byamandah   editor    foreigner frontman mick jones said to site ultimate classic rock in an interview that working with the backing choir on i want to know what love is was a    see all   in my life theres been heartache and pain i dont know if i can face it again cant stop now ive traveled so far to change this lonely lifei want to know what love is i want you to show me i want to feel what love is i know you can show meim gonna take a little time a little time to look around me ive got nowhere left to hide it looks like love has finally found mein my life theres been heartache and pain i dont know if i can face it again cant stop now ive traveled so far to change this lonely lifei want to know what love is i want you to show me i want to feel what love is i know you can show me i want to know what love is i want you to show me and i want to feel i want to feel what love is and i know i know you can show melets talk about love i want to know what love is the love that you feel inside i want you to show me and im feeling so much love i want to feel what love is no you just cant hide i know you can show me i want to know what love is lets talk about love i know you can show me i want to feel it too i want to feel what love is i want to feel it too and i know and i know i know you can show me show me love is real yeah i want to know what love is ,1,69H7ljA6wKkXdyuc8hqoqc
5,i feel for you,chaka khan,1985, chaka chaka chaka chaka khan chaka khan chaka khan chaka khan chaka khan let me rock you let me rock you chaka khan let me rock you thats all i wanna do chaka khan let me rock you let me rock you chaka khan let me rock you let me feel for you chaka khan let me tell you what i wanna do do you feel for me the way i feel for you chaka khan let me tell you what i wanna do i wanna love you wanna hug you wanna squeeze you too let me take you in my arms let me fill you with my charms chaka cause you know that im the one to keep you warm chaka ill make you more than just a physical dream i wanna rock you chaka baby cause you make me wanna scream let me rock you rock youbaby baby when i look at you i get a warm feeling inside theres something about the things you do that keeps me satisfiedi wouldnt lie to you baby its mainly a physical thing this feeling that i got for you baby makes me wanna singi feel for you i think i love you i feel for you i think i love youchaka khan let me rock you let me rock you chaka khan let me rock you thats all i wanna do chaka khan let me rock you let me rock you chaka khan let me rock you let me feel for you feel for youbaby baby when i lay with you theres no place id rather be i cant believe cant believe its true the things that you do to mei wouldnt lie to you baby im physically attracted to you this feeling that i got for you baby theres nothing that i wouldnt doi feel for you i think i love you i feel for you i think i love youoh oh oohyes sir one more time say yeah i feel for you i think i love you i feel for you i i i think i love youchaka khan let me rock you let me rock you chaka khan let me rock you thats all i wanna do chaka khan let me rock you let me rock you chaka khan let me rock you let me feel for you chaka khan wont you tell me what you wanna do do you feel for me the way i feel for you chaka khan let me tell you what i wanna do i wanna love you wanna hug you wanna squeeze you too let me take you in my arms let me fill you with my charms chaka cause you know that im the one to keep you warm chaka ill make you more than just a physical dream i wanna rock you chaka baby cause you make me wanna scream feel for youi feel for you feel for you i feel it too feel for you i feel for you feel for youi feel for you i think i love you i feel for you i think i love youi feel for you i think i love you i feel for you i think i love youi feel for you i think i love you i feel for you i think i love youi feel for you ,1,5yR9u8QiOt8hJaddv32oo7
7,everybody wants to rule the world,tears for fears,1985, welcome to your life theres no turning back even while we sleep we will find you acting on your best behavior turn your back on mother nature evrybody wants to rule the worldits my own desire its my own remorse help me to decide help me make the most of freedom and of pleasure nothing ever lasts forever everybody wants to rule the worldtheres a room where the light wont find you holding hands while the walls come tumbling down when they do ill be right behind you so glad weve almost made it so sad they had to fade it evrybody wants to rule the worldi cant stand this indecision married with a lack of vision everybody wants to rule the world say that youll never never never need it one headline why believe it everybody wants to rule the world ,1,4RvWPyQ5RL0ao9LPZeSouE
8,money for nothing,dire straits,1985, i want my mtvnow look at them yoyos thats the way you do it you play the guitar on the mtv that aint workin thats the way you do it money for nothin and your chicks for freenow that aint workin thats the way you do it lemme tell ya them guys aint dumb maybe get a blister on your little finger maybe get a blister on your thumbwe gotta install microwave ovens custom kitchen deliveries we gotta move these refrigerators we gotta move these color tvswe gotta install microwave ovens custom kitchen deliveries we gotta move these refrigerators we gotta move these color tvsi shoulda learned to play the guitar i shoulda learned to play them drums look at that mama she got it stickin in the camera man we could have some funand hes up there whats that hawaiian noises you bangin on the bongos like a chimpanzee oh that aint workin thats the way you do it get your money for nothin get your chicks for freewe gotta install microwave ovens custom kitchen deliveries we gotta move these refrigerators we gotta move these color tvslisten here now that aint workin thats the way to do it you play the guitar on the mtv that aint workin thats the way you do it money for nothin and your chicks for free money for nothin and the chicks for free get your money for nothin and chicks for free money for nothin and the chicks for free i want my i want my mtv money for nothin and the chicks for free ,1,4yqtwO7MQIIXqoiRBPHAgR
9,crazy for you,madonna,1985, swaying room as the music starts strangers making the most of the dark two by two their bodies become onei see you through the smokey air cant you feel the weight of my stare youre so close but still a world away what im dying to say is thatim crazy for you touch me once and youll know its true i never wanted anyone like this its all brand new youll feel it in my kiss im crazy for you crazy for youtrying hard to control my heart i walk over to where you are eye to eye we meet no words at allslowly now we begin to move every breath im deeper into you soon we two are standing still in time if you read my mind youll seeim crazy for you touch me once and youll know its true i never wanted anyone like this its all brand new youll feel it in my kiss youll feel it in my kiss because im crazy for you touch me once and youll know its true i never wanted anyone like this its all brand new youll feel it in my kiss im crazy for you crazy for you crazy for you crazy for you its all brand new im crazy for you and you know its true im crazy crazy for you its all brand new im crazy for you and you know its true yeah im crazy for you ,1,6B4oVElDIKRNcNUary0WG7
14,we built this city,starship,1985, we built this city we built this city on rock and roll built this city we built this city on rock and roll ohsay you dont know me or recognize my face say you dont care who goes to that kind of place kneedeep in the hoopla sinking in your fight we got too many runaways eating up the nightmarconi plays the mamba listen to the radio dont you remember we built this city we built this city on rock and rollwe built this city we built this city on rock and roll built this city we built this city on rock and rollsomeones always playing corporation games who cares theyre always changing corporation names we just want to dance here someone stole the stage they call us irresponsible write us off the pagemarconi plays the mamba listen to the radio dont you remember we built this city we built this city on rock an rollwe built this city we built this city on rock and roll built this city we built this city on rock and roll built this city we built this city on rock and roll built this city we built this city on rock and rollits just another sunday in a tired old street well if you got the toco oh then we just lost the beatwho counts the money underneath the bar and who writes the wrecking ball in two wild guitars dont tell us you need us cause were just simple fools looking for america coming through your schoolsmarconi plays the mamba listen to the radio dont you remember we built this city we built this city on rock an rollwe built this city we built this city on rock and roll built this city we built this city on rock and roll built this city we built this city on rock and roll built this city we built this city on rock and roll oh ,1,7aHRctaQ7vjxVTVmY8OhAA
